filepath,crop,disease_raw,environment,phash,pest
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_13.jpg,Cotton,A,uncontrolled,f24c43f1dc873827,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_14.jpg,Cotton,A,uncontrolled,bd2d0e4869701e9f,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_15.jpg,Cotton,A,uncontrolled,b6defa8a1f4682a0,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_16.jpg,Cotton,A,uncontrolled,ee1c9badfcd080c1,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_18.jpg,Cotton,A,uncontrolled,d87b6f2ca34c1447,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_19.jpg,Cotton,A,uncontrolled,9c1d51b59ba22aab,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_20.jpg,Cotton,A,uncontrolled,c952c4301de7f09f,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_21.jpg,Cotton,A,uncontrolled,82aad508ad53ec77,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_22.jpg,Cotton,A,uncontrolled,90f81f82e6436e5e,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_23.jpg,Cotton,A,uncontrolled,9f5b3db534606251,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_24.jpg,Cotton,A,uncontrolled,c43e2afa5ad01af2,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_25.jpg,Cotton,A,uncontrolled,d9450d9c39966db8,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_26.jpg,Cotton,A,uncontrolled,c5e96ea39e4c6432,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_27.jpg,Cotton,A,uncontrolled,bc785cc1e3aca623,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_28.jpg,Cotton,A,uncontrolled,e62fc7458e1ca8c3,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_29.jpg,Cotton,A,uncontrolled,cedd56cd06874cc1,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_30.jpg,Cotton,A,uncontrolled,901be7ba75326a23,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_31.jpg,Cotton,A,uncontrolled,96bd0b62bba98455,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_32.jpg,Cotton,A,uncontrolled,80b7115457375f1e,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_33.jpg,Cotton,A,uncontrolled,c0d44e81bdf3ab4a,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_34.jpg,Cotton,A,uncontrolled,d81973f62c51312f,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_35.jpg,Cotton,A,uncontrolled,b3f3a0a0e4fd9581,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_37.jpg,Cotton,A,uncontrolled,d41d6918c57f9a2c,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_38.jpg,Cotton,A,uncontrolled,d52c009ff201fcaf,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_39.jpg,Cotton,A,uncontrolled,bbb1c2044efee870,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_40.jpg,Cotton,A,uncontrolled,b0263478cd5b5367,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_41.jpg,Cotton,A,uncontrolled,ae07ff1ff07c0042,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_42.jpg,Cotton,A,uncontrolled,800f0ae2fe5e167b,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_01.jpg,Cotton,AW,uncontrolled,aa65bb6a405a5b96,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_02.jpg,Cotton,AW,uncontrolled,d25e4c3b26cc3936,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_03.jpg,Cotton,AW,uncontrolled,f69308ea8accda87,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_04.jpg,Cotton,AW,uncontrolled,95f52ac1d53ad2c1,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_05.jpg,Cotton,AW,uncontrolled,c469e736da896c32,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_06.jpg,Cotton,AW,uncontrolled,952ffaa7c4d0126c,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_07.jpg,Cotton,AW,uncontrolled,94cf6b1865d97264,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_08.jpg,Cotton,AW,uncontrolled,abcd663135d29349,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_09.jpg,Cotton,AW,uncontrolled,cbf89c2671c72c91,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_10.jpg,Cotton,AW,uncontrolled,a1c1902fed36987e,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_11.jpg,Cotton,AW,uncontrolled,982bfe5418b58769,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_12.jpg,Cotton,AW,uncontrolled,c229777720c36397,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_13.jpg,Cotton,AW,uncontrolled,9f3a38216d9cd326,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_14.jpg,Cotton,AW,uncontrolled,9e8e6bda803dcad0,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_15.jpg,Cotton,AW,uncontrolled,e198c6679ba7d118,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_16.jpg,Cotton,AW,uncontrolled,d2aab664a49d49e3,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_17.jpg,Cotton,AW,uncontrolled,d74fc46061870f2f,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_18.jpg,Cotton,AW,uncontrolled,f9868c71e30cc99d,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_19.jpg,Cotton,AW,uncontrolled,cf8d47cf05c47419,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_20.jpg,Cotton,AW,uncontrolled,d5833172c74d15ea,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_21.jpg,Cotton,AW,uncontrolled,f9b6e481e73d0702,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_22.jpg,Cotton,AW,uncontrolled,830dbe37964ab92c,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_23.jpg,Cotton,AW,uncontrolled,80f903f9fe07f04c,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_24.jpg,Cotton,AW,uncontrolled,b356d7392b60ecc0,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_25.jpg,Cotton,AW,uncontrolled,e99010e459db76d9,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_26.jpg,Cotton,AW,uncontrolled,d0ee631b1af3c438,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_27.jpg,Cotton,AW,uncontrolled,81197df5c043c7e6,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_28.jpg,Cotton,AW,uncontrolled,ff9c94609ae181f8,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_29.jpg,Cotton,AW,uncontrolled,ef6a9516c10f8879,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_30.jpg,Cotton,AW,uncontrolled,8b6ac75cb495781a,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_31.jpg,Cotton,AW,uncontrolled,853d7ad1224b96ae,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_32.jpg,Cotton,AW,uncontrolled,d5e1c90fbe00f685,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_33.jpg,Cotton,AW,uncontrolled,f2d55a35cc9c5324,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_34.jpg,Cotton,AW,uncontrolled,a08659f33cdc3ce1,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_35.jpg,Cotton,AW,uncontrolled,80b89fe793899c9a,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_36.jpg,Cotton,AW,uncontrolled,f22b8d19b346b42b,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_37.jpg,Cotton,AW,uncontrolled,e26a9ab288b9e62d,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_38.jpg,Cotton,AW,uncontrolled,aee881177ae965c4,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_39.jpg,Cotton,AW,uncontrolled,c1ef24b692ba5b48,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\AW\CLUE_AW_40.jpg,Cotton,AW,uncontrolled,ef81e036984fe6b0,Army Worm
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_01.jpg,Pepper Bell,A,uncontrolled,96dc286f6c9219bc,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_02.jpg,Pepper Bell,A,uncontrolled,894fd293f3e05847,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_03.jpg,Pepper Bell,A,uncontrolled,b0bf6eb01be39904,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_04.jpg,Pepper Bell,A,uncontrolled,c18e685fa61d5a3c,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_05.jpg,Pepper Bell,A,uncontrolled,e4df2c31c103fb86,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_06.jpg,Pepper Bell,A,uncontrolled,c3bb4f74b698284a,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_07.jpg,Pepper Bell,A,uncontrolled,b59b858bb8c0535e,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_08.jpg,Pepper Bell,A,uncontrolled,afc32b6b04bf5290,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_09.jpg,Pepper Bell,A,uncontrolled,f8f147cc41caea64,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_10.jpg,Pepper Bell,A,uncontrolled,ff9b19d04bdd0421,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_11.jpg,Pepper Bell,A,uncontrolled,8cc9fae2b41c7d12,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_12.jpg,Pepper Bell,A,uncontrolled,a3d3a44ed59471b4,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_13.jpg,Pepper Bell,A,uncontrolled,bebcd8b2866d8107,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_14.jpg,Pepper Bell,A,uncontrolled,adc96b29a05ee117,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_15.jpg,Pepper Bell,A,uncontrolled,d3f93f7004d2a42d,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_16.jpg,Pepper Bell,A,uncontrolled,b79f199858e058b6,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_17.jpg,Pepper Bell,A,uncontrolled,fdd052d4c1a6a6ca,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_18.jpg,Pepper Bell,A,uncontrolled,dea8027ec61115fd,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_19.jpg,Pepper Bell,A,uncontrolled,9aeaf4713c0f3078,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_20.jpg,Pepper Bell,A,uncontrolled,edc71958a0df4709,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_21.jpg,Pepper Bell,A,uncontrolled,ded8e09cb2ce13a1,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_22.jpg,Pepper Bell,A,uncontrolled,c0aac672aa2df68b,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_23.jpg,Pepper Bell,A,uncontrolled,8d6a1366762626dd,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\A\PBUE_A_24.jpg,Pepper Bell,A,uncontrolled,f9609e07cad0fe82,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_01.jpg,Pepper Bell,LM,uncontrolled,fcd06168c694a59f,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_02.jpg,Pepper Bell,LM,uncontrolled,9c6becb41646c371,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_03.jpg,Pepper Bell,LM,uncontrolled,f11fc119f4f90f08,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_04.jpg,Pepper Bell,LM,uncontrolled,c4da6e686cb5b624,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_05.jpg,Pepper Bell,LM,uncontrolled,e9e283c964353e0f,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_06.jpg,Pepper Bell,LM,uncontrolled,cbf72d8db48da180,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_07.jpg,Pepper Bell,LM,uncontrolled,f9cc82c824a7e6f1,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_08.jpg,Pepper Bell,LM,uncontrolled,efb3b0e4891d2a68,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_09.jpg,Pepper Bell,LM,uncontrolled,e38796a1631ee362,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_10.jpg,Pepper Bell,LM,uncontrolled,c0bb0ffa607bd122,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_11.jpg,Pepper Bell,LM,uncontrolled,84f615e06f637583,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_12.jpg,Pepper Bell,LM,uncontrolled,aa81fcb8158fe742,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_13.jpg,Pepper Bell,LM,uncontrolled,92bcd0e5accd8c8d,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\LM\PBUE_LM_14.jpg,Pepper Bell,LM,uncontrolled,8fd3ad70e46055a9,Leaf Miner
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\SM\PBUE_SM_1.jpg,Pepper Bell,SM,uncontrolled,f048af5f04df3c81,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\T\PBUE_T_1.jpg,Pepper Bell,T,uncontrolled,f281c31fb3574929,Thrips
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\T\PBUE_T_2.jpg,Pepper Bell,T,uncontrolled,fa3eb460d31646d1,Thrips
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBUE\T\PBUE_T_3.jpg,Pepper Bell,T,uncontrolled,a7e5ad08d82bd534,Thrips
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_03.jpg,Tomato,SM,closed,84d819bdfb0f4a26,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_05.jpg,Tomato,SM,closed,d4d62e525e783171,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_06.jpg,Tomato,SM,closed,dec0029cf4ec3ac7,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_07.jpg,Tomato,SM,closed,d41b1b4e599aa335,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_08.jpg,Tomato,SM,closed,9862386e61bcd759,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_09.jpg,Tomato,SM,closed,d216e7250f3e5e90,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_10.jpg,Tomato,SM,closed,9bc130be3e966899,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_12.jpg,Tomato,SM,closed,8d1f4e2d2bc85a69,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_13.jpg,Tomato,SM,closed,d566403f3ec0acab,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_14.jpg,Tomato,SM,closed,d4972c601bf22dcb,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_15.jpg,Tomato,SM,closed,d64b35b70b9249a5,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_16.jpg,Tomato,SM,closed,a0963ee163b71ccc,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_17.jpg,Tomato,SM,closed,d4943b6b62f3c298,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_18.jpg,Tomato,SM,closed,8a177ee934a613e2,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_19.jpg,Tomato,SM,closed,c0a52f8fdc0f1333,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_20.jpg,Tomato,SM,closed,8d8305c673bb73c2,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_21.jpg,Tomato,SM,closed,8a656738a4d70d1f,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_22.jpg,Tomato,SM,closed,95858b3e0fd6287c,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_23.jpg,Tomato,SM,closed,9a846fb2bb4e052d,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_24.jpg,Tomato,SM,closed,89e13b95e8cfa0e1,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_25.jpg,Tomato,SM,closed,a218a72ddd34f8b4,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_26.jpg,Tomato,SM,closed,8c213f03ed9bfc48,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_27.jpg,Tomato,SM,closed,d4902ddf13e705c6,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_28.jpg,Tomato,SM,closed,8fc4345eb8c9cc96,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_29.jpg,Tomato,SM,closed,9b5ea2466d8d470b,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_30.jpg,Tomato,SM,closed,b8c5633a7d841b27,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_31.jpg,Tomato,SM,closed,ca8472fcc1239ef1,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_32.jpg,Tomato,SM,closed,932e2e56948dcb53,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_33.jpg,Tomato,SM,closed,cac40fff2cc63528,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_34.jpg,Tomato,SM,closed,d4231bedb981b44d,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_35.jpg,Tomato,SM,closed,b6d439b605da3e82,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_36.jpg,Tomato,SM,closed,de542dc836c91ae3,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_37.jpg,Tomato,SM,closed,e4e4ac9272cf2999,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_38.jpg,Tomato,SM,closed,de07e50fa03d8671,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_39.jpg,Tomato,SM,closed,f22049d2d187b5bd,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_40.jpg,Tomato,SM,closed,dded25b24a11c4ab,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_41.jpg,Tomato,SM,closed,81977ec9b8ae584a,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_42.jpg,Tomato,SM,closed,d39af4cd164c3652,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_43.jpg,Tomato,SM,closed,8f9f289f9013d664,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_44.jpg,Tomato,SM,closed,c5d2251ffa6c1896,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_45.jpg,Tomato,SM,closed,c18ebcf2409bea66,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_46.jpg,Tomato,SM,closed,d28d34cf3963ace0,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_47.jpg,Tomato,SM,closed,e2b2ecc85d4e40cf,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_48.jpg,Tomato,SM,closed,96d0726afabe1854,Spider Mite
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLUE\SM\TLUE_SM_49.jpg,Tomato,SM,closed,d9a5608b6d68e49e,Spider Mite
