filepath,crop,disease_raw,environment,phash
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_029.png,Cotton,FW,closed,ffa0c08f8f5aca88
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_030.png,Cotton,FW,closed,ae7c91855b5a416d
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_031.png,Cotton,FW,closed,aef08592d24dcba3
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_032.png,Cotton,FW,closed,e567939898c9cb0e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_033.png,Cotton,FW,closed,e3669c98933167cc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_034.png,Cotton,FW,closed,eb42949d9cd8d645
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_035.png,Cotton,FW,closed,aa7995965ad0352b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_036.png,Cotton,FW,closed,ea2d85ced4809b3e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_037.png,Cotton,FW,closed,a6f69ec8ca389931
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_038.png,Cotton,FW,closed,ae3487cac28d9b1e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_039.png,Cotton,FW,closed,e16187cc989ccf93
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_040.png,Cotton,FW,closed,a7729ecccd389883
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_041.png,Cotton,FW,closed,b83385c2c20f8fbd
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_042.png,Cotton,FW,closed,ae7885c5dad2582d
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_043.png,Cotton,FW,closed,ee3185d7d04a838f
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_044.png,Cotton,FW,closed,e3629c6d999d8686
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_045.png,Cotton,FW,closed,bc62868dc9d98f25
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_046.png,Cotton,FW,closed,a06f9e98cd999872
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_047.png,Cotton,FW,closed,afe0d097c25839ad
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_048.png,Cotton,FW,closed,efae908d3b093526
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_049.png,Cotton,FW,closed,acb9847adac50d1e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_050.png,Cotton,FW,closed,ac3593c2785d2579
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_051.png,Cotton,FW,closed,e165979ace9c644c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_052.png,Cotton,FW,closed,fa6390a6879a8e59
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_053.png,Cotton,FW,closed,e806971c7c6bf18c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_054.png,Cotton,FW,closed,eb9994c30be6342b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_055.png,Cotton,FW,closed,e36d95a79092d896
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_056.png,Cotton,FW,closed,ea19946e6ab4319b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_057.png,Cotton,FW,closed,f083871ec9619db5
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_058.png,Cotton,FW,closed,e02f9eb2cd6c9990
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_059.png,Cotton,FW,closed,acb297cbc28d3c0e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_060.png,Cotton,FW,closed,b2d7cceecf18300c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_061.png,Cotton,FW,closed,e8b58562d28d1e8f
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_062.png,Cotton,FW,closed,e8d6975960b635c2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_063.png,Cotton,FW,closed,f43c93c198966d63
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_064.png,Cotton,FW,closed,bf99d0662f39f008
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_065.png,Cotton,FW,closed,ee9990c51ae62d1e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_066.png,Cotton,FW,closed,eb6394ce989c8d92
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_067.png,Cotton,FW,closed,ec93913d32c4b5d2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_068.png,Cotton,FW,closed,efc2d03d335a2c85
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_069.png,Cotton,FW,closed,ac3792d5687a053d
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_070.png,Cotton,FW,closed,aaa585cad28d3e87
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_071.png,Cotton,FW,closed,acb497c968563d34
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_072.png,Cotton,FW,closed,adb495cad20d3dc1
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_073.png,Cotton,FW,closed,a4cd9a3299cdcd34
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_074.png,Cotton,FW,closed,a169d2349ecac89f
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_075.png,Cotton,FW,closed,e56ecb65969830c3
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_076.png,Cotton,FW,closed,a624dbb298cdcd98
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_077.png,Cotton,FW,closed,e7699c249192db59
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_078.png,Cotton,FW,closed,a1e9d3349ecad807
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_079.png,Cotton,FW,closed,a6859b3299cdc93c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_080.png,Cotton,FW,closed,b691dc4dcf86390c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_081.png,Cotton,FW,closed,ecb1965ac3c598cc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_082.png,Cotton,FW,closed,a50c9a22cf333d67
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_083.png,Cotton,FW,closed,a84d973bc3322f32
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_084.png,Cotton,FW,closed,bea6c04b9b3d30f0
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_085.png,Cotton,FW,closed,be2681d97a1725e2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_086.png,Cotton,FW,closed,e1648767989bc69c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_087.png,Cotton,FW,closed,e26985a631764edc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_088.png,Cotton,FW,closed,efd3d0079a7825a8
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_089.png,Cotton,FW,closed,edb3d0942f192437
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_090.png,Cotton,FW,closed,fc928578c20d39dd
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_091.png,Cotton,FW,closed,fcf293c578423d30
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_092.png,Cotton,FW,closed,e8a695618e4f6cd8
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_093.png,Cotton,FW,closed,b0b5c971c6ce62cc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_094.png,Cotton,FW,closed,ec3b85a79ac4c29a
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_095.png,Cotton,FW,closed,e83b93c75a5a4c25
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_096.png,Cotton,FW,closed,ad62d21a2f327077
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_097.png,Cotton,FW,closed,ab66d0df87984b48
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_098.png,Cotton,FW,closed,e4369765c24b9d25
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_099.png,Cotton,FW,closed,e13396344a6d87ad
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_100.png,Cotton,FW,closed,aeecc4909ab33b1a
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_101.png,Cotton,FW,closed,aecc90933bede0c8
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_102.png,Cotton,FW,closed,b83295f0d2cc0bcf
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_103.png,Cotton,FW,closed,ac6bd3c46c2a2735
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_104.png,Cotton,FW,closed,bd63c007875ecacc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_105.png,Cotton,FW,closed,bda3c23e6be06087
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_106.png,Cotton,FW,closed,ae2c84c39e97d11e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_107.png,Cotton,FW,closed,b434cbc7cc93c338
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_108.png,Cotton,FW,closed,ee339487d3c2cac8
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_109.png,Cotton,FW,closed,e5629ea5309ad399
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_110.png,Cotton,FW,closed,e54a8e65d2381bc7
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_111.png,Cotton,FW,closed,ee7b91c469382437
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_112.png,Cotton,FW,closed,e16183cd989cce73
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_113.png,Cotton,FW,closed,b863d007879d4f9a
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_114.png,Cotton,FW,closed,b903d43f6fe06087
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_115.png,Cotton,FW,closed,ae2cc4c1da9af11b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_116.png,Cotton,FW,closed,ae9c91237fa4c11b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_117.png,Cotton,FW,closed,a531d20d9ee6d887
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_118.png,Cotton,FW,closed,f431cb5498c7cc9c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_119.png,Cotton,FW,closed,e84f85a4d2369b72
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_120.png,Cotton,FW,closed,e5289a978b339963
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_121.png,Cotton,FW,closed,e24a962599b6cda6
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_122.png,Cotton,FW,closed,eae3d41e809c1fd8
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_123.png,Cotton,FW,closed,bda0c20f2db07b33
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_124.png,Cotton,FW,closed,eb6c94d290997bc1
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_125.png,Cotton,FW,closed,ea63c1fc87941c9c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_126.png,Cotton,FW,closed,bda0d21c3db070b7
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_127.png,Cotton,FW,closed,aa34851fd2c2cfc5
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_128.png,Cotton,FW,closed,a8799497cf5a5ac0
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_129.png,Cotton,FW,closed,ad67c0a497989ada
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_130.png,Cotton,FW,closed,bd24d23c7de2c096
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_131.png,Cotton,FW,closed,af6cd0901e9b382f
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_132.png,Cotton,FW,closed,e7369c6e19296a91
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_133.png,Cotton,FW,closed,afcc90322fe9a4cc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_134.png,Cotton,FW,closed,fa3595b0d0434d5b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_135.png,Cotton,FW,closed,eaf585686a26b5b0
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_136.png,Cotton,FW,closed,bf63d01c4f4c29f0
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_137.png,Cotton,FW,closed,e76494654adb9591
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_138.png,Cotton,FW,closed,bd71c036879693c9
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_139.png,Cotton,FW,closed,bda3c23c7de06096
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_140.png,Cotton,FW,closed,fa6a95918e974c68
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_141.png,Cotton,FW,closed,e16d92d6989a4c6d
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_142.png,Cotton,FW,closed,ea76958516d7c948
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_143.png,Cotton,FW,closed,e467851ecab4b156
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_144.png,Cotton,FW,closed,e870958f4a78a9ad
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_145.png,Cotton,FW,closed,aff1d286878c99c8
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_146.png,Cotton,FW,closed,bd83d07c61e0878f
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_147.png,Cotton,FW,closed,a531c21b9ec7d98c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_148.png,Cotton,FW,closed,e58c9ab7c8333067
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_149.png,Cotton,FW,closed,e16a8da5965a6ad2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_150.png,Cotton,FW,closed,becb91b5d9139032
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_151.png,Cotton,FW,closed,ea87943a6bc17a94
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_152.png,Cotton,FW,closed,fb61c0178cb8cf98
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_153.png,Cotton,FW,closed,eae795886aa36436
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_154.png,Cotton,FW,closed,e5659667199ac1d1
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_155.png,Cotton,FW,closed,bcc4d32368bca5cc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_156.png,Cotton,FW,closed,a9c3d22c2df1c09f
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_157.png,Cotton,FW,closed,bcd2c26c3d9670e1
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_158.png,Cotton,FW,closed,beccc13b2fa0909e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_159.png,Cotton,FW,closed,a79690492bb1e6ce
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_160.png,Cotton,FW,closed,b8c4877b683c9dc2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_161.png,Cotton,FW,closed,e17287c59e3931cc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_162.png,Cotton,FW,closed,e390946e3ae3c99c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_163.png,Cotton,FW,closed,b896c5793297f0c2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_164.png,Cotton,FW,closed,a9c6d03927d26997
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_165.png,Cotton,FW,closed,e571946e1a86cb99
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_166.png,Cotton,FW,closed,bfc0d02d72b24bc9
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_167.png,Cotton,FW,closed,adc8923f69a487d8
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_168.png,Cotton,FW,closed,eb94947a38e5c29c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_169.png,Cotton,FW,closed,b8c785687a91e1ce
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_170.png,Cotton,FW,closed,b8db85644e3c71d2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_171.png,Cotton,FW,closed,adc2923d63e01eda
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_172.png,Cotton,FW,closed,e5249adb9131cccb
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_173.png,Cotton,FW,closed,ff23c09c3e23e164
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_174.png,Cotton,FW,closed,acc3923c6bc2a597
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_175.png,Cotton,FW,closed,e56d966618359393
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_176.png,Cotton,FW,closed,e499cec999a6616c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_177.png,Cotton,FW,closed,e36296953958c3ce
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_178.png,Cotton,FW,closed,e369979058b3e54c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_179.png,Cotton,FW,closed,e5319ece9194c963
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_180.png,Cotton,FW,closed,e466979c1c596393
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_181.png,Cotton,FW,closed,e13294cfcb497c62
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_182.png,Cotton,FW,closed,f1479730c92c66d3
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_183.png,Cotton,FW,closed,e86997de99966230
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_184.png,Cotton,FW,closed,e7659a969818c7c9
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_185.png,Cotton,FW,closed,e86c956bd3f08692
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_186.png,Cotton,FW,closed,e16397931c9c2d6c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_187.png,Cotton,FW,closed,e5729ca599495acc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_188.png,Cotton,FW,closed,e16b866469ccb0db
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_189.png,Cotton,FW,closed,e1729ecd838e1c99
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_190.png,Cotton,FW,closed,e5649ac6993969c9
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_191.png,Cotton,FW,closed,e3669693389cf149
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_192.png,Cotton,FW,closed,e7339acc91296cd1
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_193.png,Cotton,FW,closed,f0388ec3c9c69cda
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_194.png,Cotton,FW,closed,e5669a9494996b4b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_195.png,Cotton,FW,closed,e36996965819a769
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_196.png,Cotton,FW,closed,e13694d993cccd91
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_197.png,Cotton,FW,closed,f63ec060cfa4d233
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_198.png,Cotton,FW,closed,e5648ec39838cfc3
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_199.png,Cotton,FW,closed,e43392e6996d4a35
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_200.png,Cotton,FW,closed,e4498fb619c96665
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_201.png,Cotton,FW,closed,e31c96c3cc796435
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_202.png,Cotton,FW,closed,e35e87e1983cc2d2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_203.png,Cotton,FW,closed,e1039a786ce66799
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_204.png,Cotton,FW,closed,e1699696989a4b6d
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_205.png,Cotton,FW,closed,e11b9ac69c6c6933
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_206.png,Cotton,FW,closed,e5269a9132d96db2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_207.png,Cotton,FW,closed,e1469e674e1861cf
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_208.png,Cotton,FW,closed,e56594e79290d9ca
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_209.png,Cotton,FW,closed,fce3c232960ccb2d
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_210.png,Cotton,FW,closed,e34e96b15892b1cd
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_211.png,Cotton,FW,closed,e13896c7999c6963
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_212.png,Cotton,FW,closed,e56686369cc9989b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_213.png,Cotton,FW,closed,e13b96a79a9cc5c0
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_214.png,Cotton,FW,closed,e12996f3cbcc8c34
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_215.png,Cotton,FW,closed,e565969498c7cb4c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_216.png,Cotton,FW,closed,e933943ec38d98c9
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_217.png,Cotton,FW,closed,e727873018b3db8c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_218.png,Cotton,FW,closed,e263979c8c754972
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_219.png,Cotton,FW,closed,e41a96b7c96cd264
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_220.png,Cotton,FW,closed,e4698f96394c96b1
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_221.png,Cotton,FW,closed,e1329e61c7961c9e
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_222.png,Cotton,FW,closed,e571968e998e6139
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_223.png,Cotton,FW,closed,e26697d948596696
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_224.png,Cotton,FW,closed,e36c9c379039d29a
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_225.png,Cotton,FW,closed,e36b9e95489892cd
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_226.png,Cotton,FW,closed,e51896c79969d961
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_227.png,Cotton,FW,closed,e3499c3499963667
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_228.png,Cotton,FW,closed,e44697781ab1b34b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_229.png,Cotton,FW,closed,e1339663cb8c9ccc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_230.png,Cotton,FW,closed,e16d9e93cbd39084
